"automatic_water_benchmarking_eligible","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","community_council","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identificaiton_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"No","1000210006","1000810","Manhattan","13",,"1","1","809.9","Filed","1","303086","Not Available","769.9","40.707234","-74.012137","Not Available","Battery Park City-Lower Manhattan                                          ","1000210006","Multifamily Housing","58","1000810","317135","Manual","64.7","129","BROADWAY","69","1579.8","65.2","129.3","10006"
"N/A","1000220013",,"Manhattan",,,,,"2660.8","Not on Covered Buildings List",,,"76","1748.5",,,"Not Available",,"1000220013","Office","14802","1000811","686571","None","83.2","150.7",,,"4409.3","Not Available","Not Available",
"N/A","1000220020",,"Manhattan",,,,,"746.8","Not on Covered Buildings List",,,"57","2153.3",,,"Not Available",,"1000220020","Office","14803","1000812","389917","None","93.7","239.2",,,"2900.1","94.4","239.8",
"No","1000220024","1000813","Manhattan","9",,"1","1","0","Filed","1","300676","32","2831.7","40.706449","-74.012761","Not Available","Battery Park City-Lower Manhattan                                          ","1000220024","Office","60","1000813","343345","None","99.2","264.6","BROADWAY","50","2831.7","99.6","265.1","10004"
"No","1000220028","1000814","Manhattan","9",,"1","1","0","Filed","1","720400","21","4552.5","40.706493","-74.012725","Not Available","Battery Park City-Lower Manhattan                                          ","1000220028","Office","61","1000814","384831","None","140.9","344.5","BROADWAY","52","4552.5","Not Available","Not Available","10004"
"No","1000230050","1000816","Manhattan","7",,"1","1","0","Filed","1","466820","83","4232.1","40.706553","-74.011033","12.72","Battery Park City-Lower Manhattan                                          ","1000230050","Office","63","1000816","473890","Manual","106.1","251.8","BROAD STREET","20","4232.1","105.1","250.7","10004"
"No","1000240001","1000817","Manhattan","9",,"1","1","0","Filed","1","974958","82","8601","40.705351","-74.011502","Not Available","Battery Park City-Lower Manhattan                                          ","1000240001","Office","64","1000817","998035","None","101.6","224","BROAD STREET","60","8601","100.9","223.2","10004"
"No","1-00024-0029","1000819","Manhattan","9",,"1","1","0","Filed","1","370000","81","1983.6","40.70618","-74.01125","Not Available","Battery Park City-Lower Manhattan                                          ","1000240029","Office","65","1000819","419795","None","57.5","166.8","BROAD STREET","30","1983.6","57.6","166.8","10004"
"N/A","3020020001",,"Brooklyn",,,,,"0","Not on Covered Buildings List",,,"Not Available","3419.4",,,"15.95",,"3020020001","Other - Mall","15737","3057470","392000","None","107.2","336.6",,,"3419.4","105.9","332.7",
"No","1-00024-0036","1000820","Manhattan","9",,"1","1","0","Filed","1","205940","Not Available","869.9","40.705689","-74.011455","Not Available","Battery Park City-Lower Manhattan                                          ","1000240036","Office","66","1000820","262554","None","39.3","91.7","BROAD STREET","50","869.9","39.4","91.8","10004"
"No","1000250001","1000821","Manhattan","9",,"1","1","0","Filed","1","406025","68","3569.6","40.705189","-74.011505","20.31","Battery Park City-Lower Manhattan                                          ","1000250001","Office","68","1000821","410295","Manual","103.2","242.2","BROAD STREET","55","3569.6","104","243.2","10004"
"No","1-00025-0010","1000823","Manhattan","9",,"1","1","0","Filed","1","91553","47","457.9","40.705576","-74.011448","Not Available","Battery Park City-Lower Manhattan                                          ","1000250010","K-12 School","69","1000823","125000","None","45","141.4","BROAD STREET","41","457.9","45","141.4","10004"
"N/A","1001450012",,"Manhattan",,,,,,"Not on Covered Buildings List",,,"Not Available","131.9",,,"Not Available",,"1001450012","Hotel","14819","1-00145-0012","39000","None",,,,,,"Not Available","Not Available",
"No","1-00025-0019","1000824","Manhattan","9",,"1","1","135.3","Filed","1","518034","Not Available","2679.1","40.706114","-74.01126","Not Available","Battery Park City-Lower Manhattan                                          ","1000250019","Multifamily Housing","70","1000824","431052","None","79.3","169.6","BROAD STREET","25","2814.4","79.5","169.6","10004"
"No","1000250027","1000825","Manhattan","9",,"1","1","655.1","Filed","1","237000","68","828.5","40.705939","-74.010283","Not Available","Battery Park City-Lower Manhattan                                          ","1000250027","Office","71","1000825","237000","None","95.1","189.6","EXCHANGE PLACE","40","1483.6","96.1","190.5","10005"
"Yes","1-00026-0021","1000826","Manhattan","7",,"1","1","964.9","Filed","1","493187","Not Available","1214.6","40.706595","-74.009861","36.94","Battery Park City-Lower Manhattan                                          ","1000260021","Multifamily Housing","74","1000826","488895","ABS","67.1","134.2","WALL STREET","45","2179.5","66.5","132.4","10005"
"No","1-00027-7501","1000827","Manhattan","7",,"1","1","1044.6","Filed","1","274516","Not Available","3279.6","40.706191","-74.009165","Not Available","Battery Park City-Lower Manhattan                                          ","1000277501","Multifamily Housing","79","1000827","290987","None","199.5","337.7","WALL STREET","55","4324.2","199.3","337.4","10005"
"No","1000270009","1000828","Manhattan","7",,"1","1","2068.3","Filed","1","400531","Not Available","1064.4","40.705843","-74.008516","Not Available","Battery Park City-Lower Manhattan                                          ","1000270009","Multifamily Housing","77","1000828","420558","None","123.8","195","WALL STREET","63","3132.7","123.8","195","10005"
"No","1000270017","1000829","Manhattan","7",,"1","1","1810.6","Filed","1","303175","Not Available","814.2","40.705749","-74.008342","Not Available","Battery Park City-Lower Manhattan                                          ","1000270017","Multifamily Housing","78","1000829","318334","None","138.6","211.2","WALL STREET","67","2624.8","138.6","211.3","10005"
"No","1000277502","1000830","Manhattan","7",,"1","1","417","Filed","1","786942","Not Available","2874.6","40.705634","-74.009378","Not Available","Battery Park City-Lower Manhattan                                          ","1000277502","Multifamily Housing","80","1000830","826289","None","50.9","109.1","EXCHANGE PLACE","20","3291.6","50.7","108.9","10005"
"Yes","1000280001","1000831","Manhattan","7",,"1","1","1522.1","Filed","1","239121","Not Available","581.7","40.704808","-74.009623","Not Available","Battery Park City-Lower Manhattan                                          ","1000280001","Multifamily Housing","81","1000831","239121","ABS","118.5","183.9","HANOVER SQUARE","3","2103.8","120","185.5","10004"
"No","1-00028-7501","1000835","Manhattan","7",,"1","1","196.8","Filed","1","108373","Not Available","321.9","40.70536","-74.008602","Not Available","Battery Park City-Lower Manhattan                                          ","1000287501","Multifamily Housing","82","1000835","105015","None","73","155.4","BEAVER STREET","82","518.7","71.9","153.5","10005"
"No","1-00028-7501","1000835","Manhattan","7",,"1","1","196.8","Filed","1","108373","Not Available","321.9","40.70536","-74.008602","Not Available","Battery Park City-Lower Manhattan                                          ","1000287501","Multifamily Housing","83","1000835","105015","None","73","155.4","BEAVER STREET","82","518.7","71.9","153.5","10005"
"No","1-00029-0070","1000849","Manhattan","9",,"1","1","0","Filed","1","661283","2","11074.9","40.704487","-74.011556","Not Available","Battery Park City-Lower Manhattan                                          ","1000290070","Office","86","1000849","671172","None","200.4","577","BROAD STREET","75","11074.9","200.7","577.4","10004"
"No","1000290086","1000851","Manhattan","9",,"1","1","57.1","Filed","1","87775","Not Available","53","40.704624","-74.010568","Not Available","Battery Park City-Lower Manhattan                                          ","1000290086","Parking","87","1000851","5900","None","292.7","538.2","SOUTH WILLIAM STREET","14","110.1","292.7","538.2","10004"
"No","1-00030-0019","1000855","Manhattan","9",,"1","1","809.3","Filed","1","782883","90","2818.2","40.70447","-74.009406","Not Available","Battery Park City-Lower Manhattan                                          ","1000300019","Office","89","1000855","802690","None","62.1","155.4","HANOVER SQUARE","7","3627.5","Not Available","Not Available","10004"
"No","1-00030-0019","1000855","Manhattan","9",,"1","1","809.3","Filed","1","782883","90","2818.2","40.70447","-74.009406","Not Available","Battery Park City-Lower Manhattan                                          ","1000300019","Office","90","1000855","802690","None","62.1","155.4","HANOVER SQUARE","7","3627.5","Not Available","Not Available","10004"
"No","1000310001","1000859","Manhattan","7",,"1","1",,"Filed","1","487404","Not Available",,"40.704328","-74.00923","Not Available","Battery Park City-Lower Manhattan                                          ","1000310001","Mixed Use Property","91","1000859","510613","None",,,"HANOVER SQUARE","10",,"Not Available","Not Available","10005"
"No","1000330011","1000864","Manhattan","7",,"1","1","9.6","Filed","1","473460","Not Available","0.9","40.704932","-74.007488","Not Available","Battery Park City-Lower Manhattan                                          ","1000330011","Multifamily Housing","96","1000864","476727","None","0.4","0.5","WALL STREET","95","10.5","0.4","0.5","10005"
"N/A","3-07050-0181",,"Brooklyn",,,,,"1993.7","BBL not valid",,,"Not Available","313.6",,,"71.46",,"3070500181","Multifamily Housing","12230","3321834;3856497","364529","N/A","113.6","141.4",,,"2307.3","115.2","142.9",
"No","1-00035-0001","1000867","Manhattan","7",,"1","1","80.3","Filed","1","973587","66","7325.5","40.70388","-74.00822","Not Available","Battery Park City-Lower Manhattan                                          ","1000350001","Office","97","1000867","1162477","None","77.1","202.5","FRONT STREET","77","7405.8","77","202.4","10005"
"No","1000350010","1000868","Manhattan","7",,"1","1","419.1","Filed","1","990205","99","2590.8","40.704553","-74.006636","12.57","Battery Park City-Lower Manhattan                                          ","1000350010","Office","98","1000868","#N/A","Manual","40.4","77.3","WALL STREET","111","3009.9","39.7","76.4","10005"
"No","1000377501","1000871","Manhattan","7",,"1","1","0","Filed","1","582412","91","2861.6","40.70438","-74.006427","Not Available","Battery Park City-Lower Manhattan                                          ","1000377501","Office","101","1000871","614416","Manual","55.3","131.9","WALL STREET","120","2861.6","55.1","131.6","10005"
"No","1000370008","1000872","Manhattan","7",,"1","1","0","Filed","1","295376","100","753.8","40.704638","-74.006694","1.18","Battery Park City-Lower Manhattan                                          ","1000370008","Office","99","1000872","292627","Manual","29.4","43","WALL STREET","110","753.8","29.4","43","10005"
"No","1000370023","1000874","Manhattan","7",,"1","1","36.2","Filed","1","1079361","55","8649.9","40.705308","-74.004873","Not Available","Battery Park City-Lower Manhattan                                          ","1000370023","Office","100","1000874","1078751","None","96.8","250.3","MAIDEN LANE","180","8686.1","96","249.3","10005"
"Yes",,,"Queens",,,,,,"No Submission Matched to BBL","1","180000",,,,,,,"4004400008",,"14238",,"#N/A","None",,,"22 STREET","43-01",,,,"11101"
"No","1-00038-0017","1000876","Manhattan","7",,"1","1","0","Filed","1","566858","62","7433.6","40.70536","-74.00629","Not Available","Battery Park City-Lower Manhattan                                          ","1000380017","Office","103","1000876","664900","None","129.8","241.3","PINE STREET","88","7433.6","128.6","240","10005"
"No","1000390001","1000877","Manhattan","7",,"1","1","0","Filed","1","53253","98","255.3","40.705415","-74.007729","Not Available","Battery Park City-Lower Manhattan                                          ","1000390001","Office","104","1000877","56271","None","53","106.4","WALL STREET","82","255.3","Not Available","Not Available","10005"
"N/A","1000390004",,"Manhattan",,,,,"0","Not on Covered Buildings List",,,"100","331",,,"Not Available",,"1000390004","Office","14804","1000878","107751","None","35.6","64.3",,,"331","Not Available","Not Available",
"No","1000390012","1000880","Manhattan","7",,"1","1","0","Filed","1","1075808","54","11003.8","40.7066","-74.006633","14.87","Battery Park City-Lower Manhattan                                          ","1000390012","Office","105","1000880","986540","Manual","130.5","265.9","MAIDEN LANE","110","11003.8","128.9","264","10005"
"No","1-00039-7501","1000884","Manhattan","7",,"1","1","515.2","Filed","1","117641","Not Available","136.3","40.705522","-74.006929","Not Available","Battery Park City-Lower Manhattan                                          ","1000397501","Multifamily Housing","106","1000884","97677","Manual","88.2","125.7","WATER STREET","130","651.5","88.3","125.7","10005"
"Yes","1-00858-0058","1016920","Manhattan","74",,"5","2","511","Filed","1","146161","96","205.1","40.744367","-73.98542","2","Midtown-Midtown South                                                      ","1008580058","Office","1549","1016920","166605","ABS","56.5","89.3","MADISON AVENUE","89","716.1","55.6","88.1","10016"
"No","1-00040-0003","1001004","Manhattan","7",,"1","1","234","Filed","1","1617206","Not Available","4273309","40.705914","-74.008609","Not Available","Battery Park City-Lower Manhattan                                          ","1000400003","Office","107","1001004","1625483","None","29702.9","35920.8","WALL STREET","60","4273543","29498.9","35675.5","10005"
"No","1000400014","1001005","Manhattan","7",,"1","1","0","Filed","1","281755","83","1634.7","40.706331","-74.009396","Not Available","Battery Park City-Lower Manhattan                                          ","1000400014","Office","108","1001005","313918","None","63.2","179.7","WALL STREET","48","1634.7","63.2","179.8","10005"
"No","1-00041-7503","1001009","Manhattan","7",,"1","1","0","Filed","1","81412","Not Available","617.7","40.706606","-74.008404","Not Available","Battery Park City-Lower Manhattan                                          ","1000417503","Multifamily Housing","110","1001009","86839","None","84.4","197.7","PINE STREET","56","617.7","83.6","196","10005"
"No","1-00042-0001","1001014","Manhattan","7",,"1","1","64.2","Filed","1","290116","Not Available","1699.1","40.706867","-74.00699","Not Available","Battery Park City-Lower Manhattan                                          ","1000420001","Multifamily Housing","112","1001014","279600","None","75.8","158.9","MAIDEN LANE","100","1763.3","75.8","159","10038"
"No","1-00042-0031","1001015","Manhattan","7",,"1","1","0","Filed","1","527605","Not Available",,"40.707116","-74.007329","Not Available","Battery Park City-Lower Manhattan                                          ","1000420031","Office","114","1001015","527605","None",,,"MAIDEN LANE","80",,"Not Available","Not Available","10038"
"No","1000430001","1001017","Manhattan","7",,"1","1","0","Filed","1","289049","Not Available","2675.1","40.70654","-74.009738","0.6","Battery Park City-Lower Manhattan                                          ","1000430001","Office","115","1001017","341291","Manual","92.3","201.5","WALL STREET","44","2675.1","91.4","200.5","10005"
"No","1000430002","1001018","Manhattan","7",,"1","1","0","Filed","1","1061266","91","6121.2","40.706625","-74.009875","Not Available","Battery Park City-Lower Manhattan                                          ","1000430002","Office","116","1001018","1155995","None","63","151.5","WALL STREET","40","6121.2","62.4","150.8","10005"
"No","1-00043-0005","1001019","Manhattan","7",,"1","1","0","Filed","1","108663","Not Available","885.6","40.706839","-74.010218","Not Available","Battery Park City-Lower Manhattan                                          ","1000430005","Office","117","1001019","137815","None","77.7","215.5","WALL STREET","30","885.6","77.6","215.5","10005"
"N/A","1-00044-0001",,"Manhattan",,,,,"0","Not on Covered Buildings List",,,"43","28266.3",,,"Not Available",,"1000440001","Office","14806","1001021","2239000","None","148.8","327.7",,,"28266.3","146.8","325.3",
"Yes","1001960005","1002338","Manhattan","31",,"1","1","113.1","Filed","1","56210","28","321.4","40.718946","-74.002255","24.43","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001960005","Office","280","1002338","54968","ABS","110.7","266.4","BROADWAY","408","434.5","110.2","266.1","10013"
"No","1-00044-7501","1001022","Manhattan","7",,"1","1","72.4","Filed","1","583639","Not Available","1734.8","40.707588","-74.010013","Not Available","Battery Park City-Lower Manhattan                                          ","1000447501","Multifamily Housing","118","1001022","616399","None","36.8","110.9","PINE STREET","18","1807.2","36.4","109.8","10005"
"No","1-00044-7501","1001022","Manhattan","7",,"1","1","72.4","Filed","1","583639","Not Available","1734.8","40.707588","-74.010013","Not Available","Battery Park City-Lower Manhattan                                          ","1000447501","Multifamily Housing","119","1001022","616399","None","36.8","110.9","PINE STREET","18","1807.2","36.4","109.8","10005"
"No","1000460001","1001023","Manhattan","7",,"1","1","0","Filed","1","173159","56","1558.7","40.707725","-74.011632","Not Available","Battery Park City-Lower Manhattan                                          ","1000460001","Office","120","1001023","192500","None","97.1","251.9","WALL STREET","2","1558.7","96.5","251.2","10005"
"N/A","1-00046-0003","1001024","Manhattan","7",,"1","1","0","Filed","1","364390","75","2242.4","40.70814","-74.011373","Not Available","Battery Park City-Lower Manhattan                                          ","1000460003","Office","121","1001024","364390","None","73.7","189.9","BROADWAY            ","100","2242.4","Not Available","Not Available","10005"
"No","1-00046-0009","1001025","Manhattan","7",,"1","1","0","Filed","1","839749","51","10569.6","40.707347","-74.010997","Not Available","Battery Park City-Lower Manhattan                                          ","1000460009","Office","122","1001025","1087767","None","113.9","237.2","WALL STREET","14","10569.6","112.3","235","10005"
"No","1000477501","1001026","Manhattan","7",,"1","1","70.7","Filed","1","1736513","83","11705.5","40.708546","-74.011041","10.97","Battery Park City-Lower Manhattan                                          ","1000477501","Office","123","1001026","1910503","Manual","74.1","188.5","BROADWAY","120","11776.2","73.6","187.3","10005"
"No","1000480001","1001027","Manhattan","7",,"1","1","0","Filed","1","1141266","68","14577.1","40.709043","-74.010626","18.46","Battery Park City-Lower Manhattan                                          ","1000480001","Office","124","1001027","#N/A","Manual","134.8","272.4","BROADWAY","140","14577.1","133","270.2","10005"
"Yes",,,"Queens",,,,,,"No Submission Matched to BBL","1","84000",,,,,,,"4026020170",,"14383",,"#N/A","None",,,"49 STREET","56-72",,,,"11378"
"No","1000490002","1001029","Manhattan","13",,"1","1","0","Filed","1","432093","90","1672","40.708486","-74.011113","Not Available","Battery Park City-Lower Manhattan                                          ","1000490002","Office","125","1001029","450000","None","45.7","143.4","BROADWAY","111","1672","45.4","142.6","10006"
"No","1000500001","1001030","Manhattan","13",,"1","1","0","Filed","1","396607","94","4304.3","40.708631","-74.010997","Not Available","Battery Park City-Lower Manhattan                                          ","1000500001","Office","126","1001030","800000","None","63","129.2","BROADWAY","115","4304.3","63.4","129.7","10006"
"N/A","1-00051-0001","1001031","Manhattan","13",,"1","1","0","Filed","1","400294","92","2580.1","40.707808","-74.013053","Not Available","Battery Park City-Lower Manhattan                                          ","1000510001","Office","127","1001031","491400","None","62","139.4","RECTOR STREET       ","2","2580.1","62.8","140.2","10006"
"No","1-00051-0007","1001032","Manhattan","13",,"1","1","9.4","Filed","1","63271","Not Available","528.5","40.708258","-74.012649","Not Available","Battery Park City-Lower Manhattan                                          ","1000510007","Office","128","1001032","54273","None","116.4","214.3","TRINITY PLACE","68","537.9","118.2","216.4","10006"
"No","1-00051-0013","1001033","Manhattan","13",,"1","1","0","Filed","1","181725","1","38966.5","40.708472","-74.012505","Not Available","Battery Park City-Lower Manhattan                                          ","1000510013","Office","129","1001033","167555","None","2627.3","3176.3","TRINITY PLACE","78","38966.5","Not Available","Not Available","10006"
"No","1-00051-0017","1001036","Manhattan","13",,"1","1","0","Filed","1","182835","50","2009.7","40.708387","-74.012563","Not Available","Battery Park City-Lower Manhattan                                          ","1000510017","Office","130","1001036","205662","None","113.5","211.4","TRINITY PLACE","74","2009.7","116","216.1","10006"
"Yes","1-00052-0021","1001040","Manhattan","13",,"1","1","324.4","Filed","1","57945","Not Available","85.9","40.71002","-74.012408","21.46","Battery Park City-Lower Manhattan                                          ","1000520021","Multifamily Housing","131","1001040","57945","ABS","92.6","132.3","LIBERTY STREET","120","410.3","92.9","132.7","10006"
"No","1-00052-7502","1001041","Manhattan","13",,"1","1","1.6","Filed","1","74409","Not Available","234.4","40.709938","-74.012235","Not Available","Battery Park City-Lower Manhattan                                          ","1000527502","Multifamily Housing","132","1001041","64718","None","45","140.2","LIBERTY STREET","114","236","44.9","140.1","10006"
"No","1-00053-7501","1001050","Manhattan","13",,"1","1","251.6","Filed","1","66872","Not Available","117.8","40.709089","-74.013118","Not Available","Battery Park City-Lower Manhattan                                          ","1000537501","Multifamily Housing","134","1001050","65809","None","74.1","121.8","GREENWICH STREET","120","369.4","Not Available","Not Available","10006"
"Yes","1-00055-0014","1001060","Manhattan","13",,"1","1","495.3","Filed","1","258071","Not Available","297.8","40.709037","-74.015109","53.54","Battery Park City-Lower Manhattan                                          ","1000550014","Multifamily Housing","135","1001060","250471","None","51.9","85","WEST STREET","71","793.1","52.2","85.4","10006"
"No","1-00055-0016","1001061","Manhattan","13",,"1","1","2247.7","Filed","1","420322","1","5086","40.709468","-74.014933","118.68","Battery Park City-Lower Manhattan                                          ","1000550016","Hotel","136","1001061","329999","Manual","306.1","435.7","WEST STREET","80","7333.7","306.1","435.7","10006"
"No","1-00056-0004","1001064","Manhattan","13",,"1","1","141.4","Filed","1","357001","Not Available","1153.4","40.710009","-74.01476","70.02","Battery Park City-Lower Manhattan                                          ","1000560004","Multifamily Housing","138","1001064","322010","Manual","52.3","146.9","WEST STREET","90","1294.8","52.3","147","10006"
"Yes","1-00474-0030","1007048","Manhattan","47",,"2","1","121.3","Filed","1","51790","82","170.4","40.721543","-74.000076","4.23","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1004740030","Office","460","1007048","62148","ABS","60","132.4","BROADWAY","483","291.7","59.8","132.3","10013"
"No","1-00062-7501","1001068","Manhattan","13",,"1","1","81.6","Filed","1","2139035","82","24211.6","40.70943","-74.011102","17.96","Battery Park City-Lower Manhattan                                          ","1000627501","Office","139","1001068","2346193","Manual","123.9","308.6","LIBERTY PLAZA","1","24293.2","123.3","307.9","10006"
"No","1-00063-0012","1001071","Manhattan","13",,"1","1","0","Filed","1","66686","Not Available",,"40.71058","-74.009862","Not Available","Battery Park City-Lower Manhattan                                          ","1000630012","Office","140","1001071","64259","None",,,"DEY STREET","5",,"Not Available","Not Available","10007"
"No","1-00064-0008","1001084","Manhattan","1502",,"1","1","50.1","Filed","1","167448","Not Available","1246.3","40.708642","-74.009407","Not Available","Battery Park City-Lower Manhattan                                          ","1000640008","Multifamily Housing","141","1001084","167428","None","91.8","160.5","LIBERTY STREET","53","1296.4","91.2","159.2","10005"
"No","1-00064-0012","1001087","Manhattan","1502",,"1","1","0","Filed","1","279669","79","1497.7","40.70932","-74.010392","Not Available","Battery Park City-Lower Manhattan                                          ","1000640012","Office","142","1001087","276000","None","65.1","169.7","BROADWAY","150","1497.7","64.6","169.1","10038"
"No","1000650007","1001097","Manhattan","1502",,"1","1","0","Filed","1","124910","91","702.6","40.709482","-74.009356","Not Available","Battery Park City-Lower Manhattan                                          ","1000650007","Office","144","1001097","144200","None","58","141.6","MAIDEN LANE","15","702.6","57.7","141","10038"
"No","1000650010","1001098","Manhattan","1502",,"1","1","551.1","Filed","1","58354","Not Available","118.7","40.709606","-74.009555","Not Available","Battery Park City-Lower Manhattan                                          ","1000650010","Multifamily Housing","145","1001098","63146","None","187.6","245.2","MAIDEN LANE","9","669.8","Not Available","Not Available","10038"
"No","1-00065-0017","1001100","Manhattan","1502",,"1","1","428.2","Filed","1","168176","Not Available","396.2","40.709932","-74.009869","Not Available","Battery Park City-Lower Manhattan                                          ","1000650017","Multifamily Housing","146","1001100","180100","None","71.8","131.9","BROADWAY","176","824.4","71.5","131.7","10038"
"No","1000670023","1001109","Manhattan","1502",,"1","1","0","Filed","1","558327","84","2976.5","40.709114","-74.008812","Not Available","Battery Park City-Lower Manhattan                                          ","1000670023","Office","149","1001109","617356","None","58.2","159.9","NASSAU STREET","56","2976.5","57.9","159.5","10038"
"No","1-00068-0007","1001111","Manhattan","1502",,"1","1","14.8","Filed","1","155450","Not Available","1476.9","40.707443","-74.007607","Not Available","Battery Park City-Lower Manhattan                                          ","1000680007","Office","150","1001111","Not Available","None",,,"MAIDEN LANE","83","1491.7","Not Available","Not Available","10038"
"Yes",,,"Queens",,,,,,"No Submission Matched to BBL","1","87810",,,,,,,"4026020200",,"14384",,"#N/A","None",,,"49 STREET","57-10",,,,"11378"
"No","1-00068-0011","1001112","Manhattan","1502",,"1","1","101.8","Filed","1","155026","Not Available",,"40.707657","-74.007758","Not Available","Battery Park City-Lower Manhattan                                          ","1000680011","Office","151","1001112","155026","None",,,"MAIDEN LANE","75",,"Not Available","Not Available","10038"
"N/A","1000680016","1001113","Manhattan","1502",,"1","1","0","Filed","1","111184","Not Available",,"40.708028","-74.007939","Not Available","Battery Park City-Lower Manhattan                                          ","1000680016","Multifamily Housing","152","1001113","116743","None",,,"WILLIAM STREET      ","84",,"Not Available","Not Available","10038"
"No","1000687501","1001115","Manhattan","1502",,"1","1","106.8","Filed","1","149564","Not Available","845","40.708445","-74.006886","Not Available","Battery Park City-Lower Manhattan                                          ","1000687501","Multifamily Housing","154","1001115","143531","None","83.3","163.6","JOHN STREET","80","951.8","83","163.4","10038"
"No","1000690032","1001126","Manhattan","1502",,"1","1","356.6","Filed","1","338463","96","891.2","40.707605","-74.00572","Not Available","Battery Park City-Lower Manhattan                                          ","1000690032","Office","158","1001126","342310","None","51.6","121.1","JOHN STREET","116","1247.8","51.6","121.1","10038"
"No","1-00069-7502","1001127","Manhattan","1502",,"1","1","0","Filed","1","372364","Not Available","2282.8","40.708173","-74.006464","Not Available","Battery Park City-Lower Manhattan                                          ","1000697502","Multifamily Housing","159","1001127","410482","None","65.1","133","JOHN STREET","90","2282.8","64.7","131.9","10038"
"No","1-00069-7502","1001127","Manhattan","1502",,"1","1","0","Filed","1","372364","Not Available","1365.5","40.708173","-74.006464","Not Available","Battery Park City-Lower Manhattan                                          ","1000697502","Multifamily Housing","160","1001127","377672","None","44.4","139.5","JOHN STREET","90","1365.5","44.4","139.5","10038"
"No","1-00070-0043","1001135","Manhattan","1502",,"1","1","0","Filed","1","481858","75","4755.3","40.706452","-74.005594","Not Available","Battery Park City-Lower Manhattan                                          ","1000700043","Office","161","1001135","491442","None","113.5","238.2","WATER STREET","160","4755.3","113.6","238.3","10038"
"Yes","1-00071-0001","1001136","Manhattan","1502",,"1","1","379.9","Filed","1","52969","Not Available","120","40.705829","-74.005482","29.8","Battery Park City-Lower Manhattan                                          ","1000710001","Multifamily Housing","163","1001136","59340","ABS","111.1","165.2","FRONT STREET","156","499.9","108.4","162.5","10038"
"No","1000717501","1001137","Manhattan","1502",,"1","1","44.7","Filed","1","580000","62","3582.2","40.706699","-74.005208","Not Available","Battery Park City-Lower Manhattan                                          ","1000717501","Office","164","1001137;1804058","510858","None","86","230.4","WATER STREET","175","3626.9","Not Available","Not Available","10038"
"No","1000720013","1001139","Manhattan","1502",,"1","1","208.5","Filed","1","58500","Not Available","13.5","40.706084","-74.005049","0.69","Battery Park City-Lower Manhattan                                          ","1000720013","Non-Refrigerated Warehouse","165","1001139","58500","Manual","50.9","57.4","FRONT STREET","163","222","Not Available","Not Available","10038"
"N/A","1-00073-10",,"Manhattan",,,,,"961.6","Not on Covered Buildings List",,,"Not Available","3446.8",,,"168.75",,"1000730010","Retail Store","14810","1001158","91406","None","659.1","1598.3",,,"4408.4","659.5","1600.2",
"No","1-00151-0001","1001650","Manhattan","33",,"1","1","40.5","Filed","1","434418","Not Available","3573.5","40.715477","-74.005927","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001510001","Multifamily Housing","239","1001650","483429","Manual","87","149.5","DUANE STREET","101","3614","87","149.6","10007"
"No","1000747501","1001162","Manhattan","1502",,"1","1","0","Filed","1","985010","87","5014.1","40.70727","-74.004314","Not Available","Battery Park City-Lower Manhattan                                          ","1000747501","Office","166","1001162","988890","None","60.9","159","WATER STREET","199","5014.1","Not Available","Not Available","10038"
"No","1000750001","1001163","Manhattan","1502",,"1","1","738.7","Filed","1","541000","Not Available","1682.3","40.707218","-74.005316","Not Available","Battery Park City-Lower Manhattan                                          ","1000750001","Multifamily Housing","167","1001163","541000","None","63.9","147","JOHN STREET","127","2421","63.7","146.2","10038"
"No","1000750030","1001167","Manhattan","1502",,"1","1","0","Filed","1","296076","82","1941.9","40.707671","-74.005764","Not Available","Battery Park City-Lower Manhattan                                          ","1000750030","Office","169","1001167","298776","None","77.5","191.3","JOHN STREET","111","1941.9","77.3","191","10038"
"No","1-00077-0001","1001185","Manhattan","1502",,"1","1","286.1","Filed","1","160000","Not Available","501.4","40.708338","-74.006684","55.1","Battery Park City-Lower Manhattan                                          ","1000770001","Multifamily Housing","172","1001185","160092","Manual","72.2","156.2","JOHN STREET","87","787.5","71.8","155.3","10038"
"No","1000770008","1001186","Manhattan","1502",,"1","1","0","Filed","1","788241","91","3984","40.708791","-74.007189","Not Available","Battery Park City-Lower Manhattan                                          ","1000770008","Office","173","1001186","878000","None","54.1","134.2","WILLIAM STREET","110","3984","54.1","134.2","10038"
