"automatic_water_benchmarking_eligible","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","community_council","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identificaiton_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"No",,"2013093","Bronx","36501",,"6","17",,"No Submission Matched to BBL","1","90600",,,"40.843946","-73.885797",,"East Tremont                                                               ","2031170023",,"13378",,"#N/A","None",,,"EAST  178 STREET","855",,,,"10460"
"N/A","1007400013",,"Manhattan",,,,,,"Not on Covered Buildings List",,,"Not Available","331.3",,,"Not Available",,"1007400013","Office","14911","1013048","68329","None",,,,,,"Not Available","Not Available",
"N/A","1-01277-0006",,"Manhattan",,,,,"0","Not on Covered Buildings List",,,"Not Available",,,,"5.24",,"1012770006","Office","15103","1035346","66546","None",,,,,,"Not Available","Not Available",
"N/A","2-02215-0042",,"Bronx",,,,,,"BBL not valid",,,"Not Available","5.8",,,"Not Available",,"2022150042","Multifamily Housing","12140","1064521","342048","N/A","6224.5","6533",,,,"6182.2","6488.6",
"N/A","1-00883-0029",,"Manhattan",,,,,,"Not on Covered Buildings List",,,"Not Available",,,,"Not Available",,"1008830029","Office","14960","1082096","58456","None",,,,,,"Not Available","Not Available",
"No","2-03281-0077",,"Bronx",,,,,,"Filed","1","88440","Not Available",,,,"Not Available",,"2032810077","Office","6435","2016465","88440","None",,,"EAST MOSHOLU PARKWAY","400",,"Not Available","Not Available","10458"
"No","2058251554","2084533","Bronx","351",,"8","11",,"Filed","1","78825","Not Available",,"40.896786","-73.896854","Not Available","North Riverdale-Fieldston-Riverdale                                        ","2058251554","Multifamily Housing","7261","2084533","87295","None",,,"BROADWAY","6225",,"Not Available","Not Available","10471"
"Yes","2028240005","2094530","Bronx","22703",,"4","16",,"Filed","3","243426","Not Available",,"40.843248","-73.910407","41.64","Mount Hope                                                                 ","2028240005","Senior Care Community","5842","2094530","255597","ABS",,,"SELWYN AVENUE","1650",,"Not Available","Not Available","10457"
"No","3002447501","3002008","Brooklyn","9",,"2","33",,"Filed","1","296555","Not Available",,"40.694015","-73.991472","Not Available","Brooklyn Heights-Cobble Hill                                               ","3002447501","Office","7428","3002008","220991","None",,,"MONTAGUE STREET","195",,"Not Available","Not Available","11201"
"Yes","3-07562-0001","3206027","Brooklyn","784",,"17","45",,"Filed","1","66000","Not Available",,"40.63192","-73.94344","78.56","East Flatbush-Farragut                                                     ","3075620001","Office","9533","3206027","66000","ABS",,,"AVENUE H","3413",,"Not Available","Not Available","11210"
"N/A",,,"Queens",,,,,,"No Submission Matched to BBL","1","89781",,,,,,,"4001680001",,"14197",,"#N/A","None",,,"  47 AVENUE         ","    43-09",,,,"11104"
"N/A","Not Available",,"Staten Island",,,,,"0","No BBL on submission",,,"100","0",,,"Not Available",,,"Office","12306","Not Available","61219","N/A","0","0",,,"0","0","0",
"Yes",,"3036946","Brooklyn","339",,"8","35",,"No Submission Matched to BBL","1","57720",,,"40.670848","-73.939269",,"Crown Heights North                                                        ","3013820004",,"13754",,"#N/A","None",,,"ALBANY AVENUE","283",,,,"11213"
"No",,"1003567","Manhattan","6",,"3","1",,"No Submission Matched to BBL","1","81953",,,"40.71335","-73.990611",,"Lower East Side                                                            ","1002830018",,"12496",,"#N/A","None",,,"HENRY STREET","143",,,,"10002"
"Yes",,"2085875","Bronx","309",,"8","11",,"No Submission Matched to BBL","1","152400",,,"40.888702","-73.915623",,"North Riverdale-Fieldston-Riverdale                                        ","2059200670",,"13616",,"#N/A","None",,,"HUDSON MANOR TERRACE","3801",,,,"10463"
"N/A","1008210064",,"Manhattan",,,,,,"Not on Covered Buildings List",,,"Not Available","121.5",,,"Not Available",,"1008210064","Office","14932","1015484","73000","None",,,,,,"Not Available","Not Available",
"Yes","1008240032","1015559","Manhattan","58",,"5","3","273.7","Filed","1","74027","Not Available",,"40.74111","-73.990592","8","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008240032","Office","1317","101559","74027","ABS",,,"WEST   22 STREET","3",,"Not Available","Not Available","10010"
